,Kabupaten / Kota,Tahun,IDG
0,3300 PROVINSI JAWA TENGAH,2013,32.99
1,3301 Kabupaten Cilacap,2013,24.74
2,3302 Kabupaten Banyumas,2013,29.55
3,3303 Kabupaten Purbalingga,2013,28.98
4,3304 Kabupaten Banjarnegara,2013,27.92
5,3305 Kabupaten Kebumen,2013,23.67
6,3306 Kabupaten Purworejo,2013,32.12
7,3307 Kabupaten Wonosobo,2013,22.97
8,3308 Kabupaten Magelang,2013,36.93
9,3309 Kabupaten Boyolali,2013,39.75
10,3310 Kabupaten Klaten,2013,36.92
11,3311 Kabupaten Sukoharjo,2013,40.1
12,3312 Kabupaten Wonogiri,2013,37.23
13,3313 Kabupaten Karanganyar,2013,36.91
14,3314 Kabupaten Sragen,2013,35.72
15,3315 Kabupaten Grobogan,2013,23.35
16,3316 Kabupaten Blora,2013,33.88
17,3317 Kabupaten Rembang,2013,31.14
18,3318 Kabupaten Pati,2013,30.14
19,3319 Kabupaten Kudus,2013,40.56
20,3320 Kabupaten Jepara,2013,22.76
21,3321 Kabupaten Demak,2013,37.99
22,3322 Kabupaten Semarang,2013,45.34
23,3323 Kabupaten Temanggung,2013,40.72
24,3324 Kabupaten Kendal,2013,33.18
25,3325 Kabupaten Batang,2013,26.48
26,3326 Kabupaten Pekalongan,2013,24.63
27,3327 Kabupaten Pemalang,2013,33.37
28,3328 Kabupaten Tegal,2013,26.97
29,3329 Kabupaten Brebes,2013,23.51
30,3371 Kota Magelang,2013,40.22
31,3372 Kota Surakarta,2013,42.72
32,3373 Kota Salatiga,2013,41.47
33,3374 Kota Semarang,2013,35.54
34,3375 Kota Pekalongan,2013,27.12
35,3376 Kota Tegal,2013,28.36
36,3300 PROVINSI JAWA TENGAH,2015,34.6
37,3301 Kabupaten Cilacap,2015,26.11
38,3302 Kabupaten Banyumas,2015,30.29
39,3303 Kabupaten Purbalingga,2015,29.87
40,3304 Kabupaten Banjarnegara,2015,28.77
41,3305 Kabupaten Kebumen,2015,25.1
42,3306 Kabupaten Purworejo,2015,33.92
43,3307 Kabupaten Wonosobo,2015,23.89
44,3308 Kabupaten Magelang,2015,37.33
45,3309 Kabupaten Boyolali,2015,40.52
46,3310 Kabupaten Klaten,2015,37.69
47,3311 Kabupaten Sukoharjo,2015,41.03
48,3312 Kabupaten Wonogiri,2015,39.16
49,3313 Kabupaten Karanganyar,2015,38.1
50,3314 Kabupaten Sragen,2015,37.06
51,3315 Kabupaten Grobogan,2015,24.62
52,3316 Kabupaten Blora,2015,34.7
53,3317 Kabupaten Rembang,2015,31.68
54,3318 Kabupaten Pati,2015,31.37
55,3319 Kabupaten Kudus,2015,40.94
56,3320 Kabupaten Jepara,2015,23.14
57,3321 Kabupaten Demak,2015,38.68
58,3322 Kabupaten Semarang,2015,45.78
59,3323 Kabupaten Temanggung,2015,40.83
60,3324 Kabupaten Kendal,2015,34.66
61,3325 Kabupaten Batang,2015,27.89
62,3326 Kabupaten Pekalongan,2015,25.52
63,3327 Kabupaten Pemalang,2015,35.27
64,3328 Kabupaten Tegal,2015,29
65,3329 Kabupaten Brebes,2015,24.64
66,3371 Kota Magelang,2015,41.81
67,3372 Kota Surakarta,2015,43.93
68,3373 Kota Salatiga,2015,41.34
69,3374 Kota Semarang,2015,36.75
70,3375 Kota Pekalongan,2015,27.64
71,3376 Kota Tegal,2015,29.6
72,3300 PROVINSI JAWA TENGAH,2017,34.13
73,3301 Kabupaten Cilacap,2017,26.2
74,3302 Kabupaten Banyumas,2017,30.35
75,3303 Kabupaten Purbalingga,2017,29.95
76,3304 Kabupaten Banjarnegara,2017,28.78
77,3305 Kabupaten Kebumen,2017,25.2
78,3306 Kabupaten Purworejo,2017,33.99
79,3307 Kabupaten Wonosobo,2017,24.09
80,3308 Kabupaten Magelang,2017,37.41
81,3309 Kabupaten Boyolali,2017,40.53
82,3310 Kabupaten Klaten,2017,37.76
83,3311 Kabupaten Sukoharjo,2017,41.06
84,3312 Kabupaten Wonogiri,2017,39.18
