,Kabupaten / Kota,Tahun,IPG
0,3300 PROVINSI JAWA TENGAH,2009,65.03
1,3301 Kabupaten Cilacap,2009,57.97
2,3302 Kabupaten Banyumas,2009,63.83
3,3303 Kabupaten Purbalingga,2009,61.64
4,3304 Kabupaten Banjarnegara,2009,58.89
5,3305 Kabupaten Kebumen,2009,55.69
6,3306 Kabupaten Purworejo,2009,64.2
7,3307 Kabupaten Wonosobo,2009,54.98
8,3308 Kabupaten Magelang,2009,68.2
9,3309 Kabupaten Boyolali,2009,67.23
10,3310 Kabupaten Klaten,2009,68.24
11,3311 Kabupaten Sukoharjo,2009,70.7
12,3312 Kabupaten Wonogiri,2009,65.69
13,3313 Kabupaten Karanganyar,2009,68.21
14,3314 Kabupaten Sragen,2009,65.25
15,3315 Kabupaten Grobogan,2009,54.74
16,3316 Kabupaten Blora,2009,64.12
17,3317 Kabupaten Rembang,2009,63.93
18,3318 Kabupaten Pati,2009,63.1
19,3319 Kabupaten Kudus,2009,70.19
20,3320 Kabupaten Jepara,2009,56.61
21,3321 Kabupaten Demak,2009,68.42
22,3322 Kabupaten Semarang,2009,72.65
23,3323 Kabupaten Temanggung,2009,71.23
24,3324 Kabupaten Kendal,2009,64.28
25,3325 Kabupaten Batang,2009,59.14
26,3326 Kabupaten Pekalongan,2009,56.49
27,3327 Kabupaten Pemalang,2009,62.2
28,3328 Kabupaten Tegal,2009,59.05
29,3329 Kabupaten Brebes,2009,54.08
30,3371 Kota Magelang,2009,73.35
31,3372 Kota Surakarta,2009,75.2
32,3373 Kota Salatiga,2009,73.57
33,3374 Kota Semarang,2009,71.24
34,3375 Kota Pekalongan,2009,62.49
35,3376 Kota Tegal,2009,62.29
36,3300 PROVINSI JAWA TENGAH,2010,90.32
37,3301 Kabupaten Cilacap,2010,84.5
38,3302 Kabupaten Banyumas,2010,85.14
39,3303 Kabupaten Purbalingga,2010,87.61
40,3304 Kabupaten Banjarnegara,2010,90.93
41,3305 Kabupaten Kebumen,2010,91.07
42,3306 Kabupaten Purworejo,2010,92.51
43,3307 Kabupaten Wonosobo,2010,89.13
44,3308 Kabupaten Magelang,2010,89.13
45,3309 Kabupaten Boyolali,2010,91.54
46,3310 Kabupaten Klaten,2010,93.02
47,3311 Kabupaten Sukoharjo,2010,94.85
48,3312 Kabupaten Wonogiri,2010,87.71
49,3313 Kabupaten Karanganyar,2010,93.32
50,3314 Kabupaten Sragen,2010,91.38
51,3315 Kabupaten Grobogan,2010,82.83
52,3316 Kabupaten Blora,2010,80.72
53,3317 Kabupaten Rembang,2010,84.99
54,3318 Kabupaten Pati,2010,89.25
55,3319 Kabupaten Kudus,2010,88.78
56,3320 Kabupaten Jepara,2010,88.21
57,3321 Kabupaten Demak,2010,87.93
58,3322 Kabupaten Semarang,2010,93.96
59,3323 Kabupaten Temanggung,2010,91.69
60,3324 Kabupaten Kendal,2010,92.49
61,3325 Kabupaten Batang,2010,86.9
62,3326 Kabupaten Pekalongan,2010,91.04
63,3327 Kabupaten Pemalang,2010,80.08
64,3328 Kabupaten Tegal,2010,78.53
65,3329 Kabupaten Brebes,2010,84.17
66,3371 Kota Magelang,2010,94.16
67,3372 Kota Surakarta,2010,95.28
68,3373 Kota Salatiga,2010,94.31
69,3374 Kota Semarang,2010,92.66
70,3375 Kota Pekalongan,2010,93.11
71,3376 Kota Tegal,2010,89.1
72,3300 PROVINSI JAWA TENGAH,2011,90.92
73,3301 Kabupaten Cilacap,2011,85.15
74,3302 Kabupaten Banyumas,2011,86.07
75,3303 Kabupaten Purbalingga,2011,88.51
76,3304 Kabupaten Banjarnegara,2011,91.26
77,3305 Kabupaten Kebumen,2011,91.74
78,3306 Kabupaten Purworejo,2011,92.59
79,3307 Kabupaten Wonosobo,2011,90.04
80,3308 Kabupaten Magelang,2011,91.02
81,3309 Kabupaten Boyolali,2011,91.91
82,3310 Kabupaten Klaten,2011,93.12
83,3311 Kabupaten Sukoharjo,2011,95.16
84,3312 Kabupaten Wonogiri,2011,88.1
85,3313 Kabupaten Karanganyar,2011,93.83
86,3314 Kabupaten Sragen,2011,91.91
87,3315 Kabupaten Grobogan,2011,83.85
88,3316 Kabupaten Blora,2011,81.34
89,3317 Kabupaten Rembang,2011,85.12
90,3318 Kabupaten Pati,2011,89.28
91,3319 Kabupaten Kudus,2011,89.99
92,3320 Kabupaten Jepara,2011,88.78
93,3321 Kabupaten Demak,2011,88.49
94,3322 Kabupaten Semarang,2011,94.71
95,3323 Kabupaten Temanggung,2011,92.08
