,Kabupaten / Kota,Tahun,Perempuan di Legislatif
2,3301 Kabupaten Cilacap,2018,16
3,3302 Kabupaten Banyumas,2018,18
4,3303 Kabupaten Purbalingga,2018,31.11
5,3304 Kabupaten Banjarnegara,2018,17.78
6,3305 Kabupaten Kebumen,2018,24
7,3306 Kabupaten Purworejo,2018,20
8,3307 Kabupaten Wonosobo,2018,6.67
9,3308 Kabupaten Magelang,2018,16
10,3309 Kabupaten Boyolali,2018,11.11
11,3310 Kabupaten Klaten,2018,6
12,3311 Kabupaten Sukoharjo,2018,20
13,3312 Kabupaten Wonogiri,2018,8.89
14,3313 Kabupaten Karanganyar,2018,28.89
15,3314 Kabupaten Sragen,2018,8.89
16,3315 Kabupaten Grobogan,2018,12
17,3316 Kabupaten Blora,2018,17.78
18,3317 Kabupaten Rembang,2018,22.22
19,3318 Kabupaten Pati,2018,16
20,3319 Kabupaten Kudus,2018,6.67
21,3320 Kabupaten Jepara,2018,8
22,3321 Kabupaten Demak,2018,16
23,3322 Kabupaten Semarang,2018,22.22
24,3323 Kabupaten Temanggung,2018,31.11
25,3324 Kabupaten Kendal,2018,24.44
26,3325 Kabupaten Batang,2018,20
27,3326 Kabupaten Pekalongan,2018,31.11
28,3327 Kabupaten Pemalang,2018,16
29,3328 Kabupaten Tegal,2018,20
30,3329 Kabupaten Brebes,2018,16
31,3371 Kota Magelang,2018,20
32,3372 Kota Surakarta,2018,20
33,3373 Kota Salatiga,2018,29.17
34,3374 Kota Semarang,2018,22
35,3375 Kota Pekalongan,2018,20
36,3376 Kota Tegal,2018,36.67
39,3301 Kabupaten Cilacap,2019,24
40,3302 Kabupaten Banyumas,2019,22
41,3303 Kabupaten Purbalingga,2019,22.22
42,3304 Kabupaten Banjarnegara,2019,26
43,3305 Kabupaten Kebumen,2019,22
44,3306 Kabupaten Purworejo,2019,17.78
45,3307 Kabupaten Wonosobo,2019,2.22
46,3308 Kabupaten Magelang,2019,12
47,3309 Kabupaten Boyolali,2019,31.11
48,3310 Kabupaten Klaten,2019,18
49,3311 Kabupaten Sukoharjo,2019,22.22
50,3312 Kabupaten Wonogiri,2019,16
51,3313 Kabupaten Karanganyar,2019,20
52,3314 Kabupaten Sragen,2019,11.11
53,3315 Kabupaten Grobogan,2019,12
54,3316 Kabupaten Blora,2019,13.33
55,3317 Kabupaten Rembang,2019,13.33
56,3318 Kabupaten Pati,2019,16
57,3319 Kabupaten Kudus,2019,8.89
58,3320 Kabupaten Jepara,2019,14
59,3321 Kabupaten Demak,2019,12
60,3322 Kabupaten Semarang,2019,18
61,3323 Kabupaten Temanggung,2019,33.33
62,3324 Kabupaten Kendal,2019,24.44
63,3325 Kabupaten Batang,2019,15.56
64,3326 Kabupaten Pekalongan,2019,26.67
65,3327 Kabupaten Pemalang,2019,30
66,3328 Kabupaten Tegal,2019,24
67,3329 Kabupaten Brebes,2019,16
68,3371 Kota Magelang,2019,20
69,3372 Kota Surakarta,2019,20
70,3373 Kota Salatiga,2019,20
71,3374 Kota Semarang,2019,20
72,3375 Kota Pekalongan,2019,11.43
73,3376 Kota Tegal,2019,13.33
76,3301 Kabupaten Cilacap,2020,26
77,3302 Kabupaten Banyumas,2020,22
78,3303 Kabupaten Purbalingga,2020,22.22
79,3304 Kabupaten Banjarnegara,2020,26
80,3305 Kabupaten Kebumen,2020,22
81,3306 Kabupaten Purworejo,2020,17.78
82,3307 Kabupaten Wonosobo,2020,4.44
83,3308 Kabupaten Magelang,2020,14
84,3309 Kabupaten Boyolali,2020,31.11
85,3310 Kabupaten Klaten,2020,16
86,3311 Kabupaten Sukoharjo,2020,22.22
87,3312 Kabupaten Wonogiri,2020,16.33
88,3313 Kabupaten Karanganyar,2020,20
89,3314 Kabupaten Sragen,2020,11.36
90,3315 Kabupaten Grobogan,2020,12
91,3316 Kabupaten Blora,2020,11.11
92,3317 Kabupaten Rembang,2020,13.64
93,3318 Kabupaten Pati,2020,16
94,3319 Kabupaten Kudus,2020,8.89
95,3320 Kabupaten Jepara,2020,12
96,3321 Kabupaten Demak,2020,12
97,3322 Kabupaten Semarang,2020,18.37
98,3323 Kabupaten Temanggung,2020,33.33
99,3324 Kabupaten Kendal,2020,24.44
100,3325 Kabupaten Batang,2020,15.56
101,3326 Kabupaten Pekalongan,2020,27.91
102,3327 Kabupaten Pemalang,2020,32
103,3328 Kabupaten Tegal,2020,24
104,3329 Kabupaten Brebes,2020,16
105,3371 Kota Magelang,2020,20
106,3372 Kota Surakarta,2020,22.22
107,3373 Kota Salatiga,2020,20
108,3374 Kota Semarang,2020,20.41
109,3375 Kota Pekalongan,2020,8.82
110,3376 Kota Tegal,2020,13.33
113,3301 Kabupaten Cilacap,2021,26
114,3302 Kabupaten Banyumas,2021,20
115,3303 Kabupaten Purbalingga,2021,22.22
116,3304 Kabupaten Banjarnegara,2021,26
117,3305 Kabupaten Kebumen,2021,22
118,3306 Kabupaten Purworejo,2021,17.78
119,3307 Kabupaten Wonosobo,2021,4.44
