,Kabupaten / Kota,Tahun,Pendapatan Perempuan
1,3300 PROVINSI JAWA TENGAH,2013,32.99
2,3301 Kabupaten Cilacap,2013,24.74
3,3302 Kabupaten Banyumas,2013,29.55
4,3303 Kabupaten Purbalingga,2013,28.98
5,3304 Kabupaten Banjarnegara,2013,27.92
6,3305 Kabupaten Kebumen,2013,23.67
7,3306 Kabupaten Purworejo,2013,32.12
8,3307 Kabupaten Wonosobo,2013,22.97
9,3308 Kabupaten Magelang,2013,36.93
10,3309 Kabupaten Boyolali,2013,39.75
11,3310 Kabupaten Klaten,2013,36.92
12,3311 Kabupaten Sukoharjo,2013,40.1
13,3312 Kabupaten Wonogiri,2013,37.23
14,3313 Kabupaten Karanganyar,2013,36.91
15,3314 Kabupaten Sragen,2013,35.72
16,3315 Kabupaten Grobogan,2013,23.35
17,3316 Kabupaten Blora,2013,33.88
18,3317 Kabupaten Rembang,2013,31.14
19,3318 Kabupaten Pati,2013,30.14
20,3319 Kabupaten Kudus,2013,40.56
21,3320 Kabupaten Jepara,2013,22.76
22,3321 Kabupaten Demak,2013,37.99
23,3322 Kabupaten Semarang,2013,45.34
24,3323 Kabupaten Temanggung,2013,40.72
25,3324 Kabupaten Kendal,2013,33.18
26,3325 Kabupaten Batang,2013,26.48
27,3326 Kabupaten Pekalongan,2013,24.63
28,3327 Kabupaten Pemalang,2013,33.37
29,3328 Kabupaten Tegal,2013,26.97
30,3329 Kabupaten Brebes,2013,23.51
31,3371 Kota Magelang,2013,40.22
32,3372 Kota Surakarta,2013,42.72
33,3373 Kota Salatiga,2013,41.47
34,3374 Kota Semarang,2013,35.54
35,3375 Kota Pekalongan,2013,27.12
36,3376 Kota Tegal,2013,28.36
38,3300 PROVINSI JAWA TENGAH,2015,34.6
39,3301 Kabupaten Cilacap,2015,26.11
40,3302 Kabupaten Banyumas,2015,30.29
41,3303 Kabupaten Purbalingga,2015,29.87
42,3304 Kabupaten Banjarnegara,2015,28.77
43,3305 Kabupaten Kebumen,2015,25.1
44,3306 Kabupaten Purworejo,2015,33.92
45,3307 Kabupaten Wonosobo,2015,23.89
46,3308 Kabupaten Magelang,2015,37.33
47,3309 Kabupaten Boyolali,2015,40.52
48,3310 Kabupaten Klaten,2015,37.69
49,3311 Kabupaten Sukoharjo,2015,41.03
50,3312 Kabupaten Wonogiri,2015,39.16
51,3313 Kabupaten Karanganyar,2015,38.1
52,3314 Kabupaten Sragen,2015,37.06
53,3315 Kabupaten Grobogan,2015,24.62
54,3316 Kabupaten Blora,2015,34.7
55,3317 Kabupaten Rembang,2015,31.68
56,3318 Kabupaten Pati,2015,31.37
57,3319 Kabupaten Kudus,2015,40.94
58,3320 Kabupaten Jepara,2015,23.14
59,3321 Kabupaten Demak,2015,38.68
60,3322 Kabupaten Semarang,2015,45.78
61,3323 Kabupaten Temanggung,2015,40.83
62,3324 Kabupaten Kendal,2015,34.66
63,3325 Kabupaten Batang,2015,27.89
64,3326 Kabupaten Pekalongan,2015,25.52
65,3327 Kabupaten Pemalang,2015,35.27
66,3328 Kabupaten Tegal,2015,29
67,3329 Kabupaten Brebes,2015,24.64
68,3371 Kota Magelang,2015,41.81
69,3372 Kota Surakarta,2015,43.93
70,3373 Kota Salatiga,2015,41.34
71,3374 Kota Semarang,2015,36.75
72,3375 Kota Pekalongan,2015,27.64
73,3376 Kota Tegal,2015,29.6
75,3300 PROVINSI JAWA TENGAH,2017,34.13
76,3301 Kabupaten Cilacap,2017,26.2
77,3302 Kabupaten Banyumas,2017,30.35
78,3303 Kabupaten Purbalingga,2017,29.95
79,3304 Kabupaten Banjarnegara,2017,28.78
80,3305 Kabupaten Kebumen,2017,25.2
81,3306 Kabupaten Purworejo,2017,33.99
82,3307 Kabupaten Wonosobo,2017,24.09
83,3308 Kabupaten Magelang,2017,37.41
84,3309 Kabupaten Boyolali,2017,40.53
85,3310 Kabupaten Klaten,2017,37.76
86,3311 Kabupaten Sukoharjo,2017,41.06
87,3312 Kabupaten Wonogiri,2017,39.18
