,Kabupaten / Kota,Tahun,Perempuan Tenaga Profesional
1,3300 PROVINSI JAWA TENGAH,2013,45.7
2,3301 Kabupaten Cilacap,2013,37.25
3,3302 Kabupaten Banyumas,2013,40.27
4,3303 Kabupaten Purbalingga,2013,46.28
5,3304 Kabupaten Banjarnegara,2013,42.39
6,3305 Kabupaten Kebumen,2013,48.83
7,3306 Kabupaten Purworejo,2013,48.18
8,3307 Kabupaten Wonosobo,2013,46.64
9,3308 Kabupaten Magelang,2013,39.68
10,3309 Kabupaten Boyolali,2013,46.68
11,3310 Kabupaten Klaten,2013,56.27
12,3311 Kabupaten Sukoharjo,2013,51.13
13,3312 Kabupaten Wonogiri,2013,36.09
14,3313 Kabupaten Karanganyar,2013,51.67
15,3314 Kabupaten Sragen,2013,56.62
16,3315 Kabupaten Grobogan,2013,44.55
17,3316 Kabupaten Blora,2013,43.16
18,3317 Kabupaten Rembang,2013,43.77
19,3318 Kabupaten Pati,2013,44.7
20,3319 Kabupaten Kudus,2013,42.2
21,3320 Kabupaten Jepara,2013,50.05
22,3321 Kabupaten Demak,2013,45.74
23,3322 Kabupaten Semarang,2013,51.44
24,3323 Kabupaten Temanggung,2013,47.02
25,3324 Kabupaten Kendal,2013,46.85
26,3325 Kabupaten Batang,2013,40.18
27,3326 Kabupaten Pekalongan,2013,53.75
28,3327 Kabupaten Pemalang,2013,37.52
29,3328 Kabupaten Tegal,2013,44.12
30,3329 Kabupaten Brebes,2013,35.21
31,3371 Kota Magelang,2013,49.65
32,3372 Kota Surakarta,2013,42.75
33,3373 Kota Salatiga,2013,47.75
34,3374 Kota Semarang,2013,46.07
35,3375 Kota Pekalongan,2013,43.62
36,3376 Kota Tegal,2013,35.91
38,3300 PROVINSI JAWA TENGAH,2015,47.72
39,3301 Kabupaten Cilacap,2015,14
40,3302 Kabupaten Banyumas,2015,18
41,3303 Kabupaten Purbalingga,2015,22.22
42,3304 Kabupaten Banjarnegara,2015,14
43,3305 Kabupaten Kebumen,2015,26.53
44,3306 Kabupaten Purworejo,2015,17.78
45,3307 Kabupaten Wonosobo,2015,6.52
46,3308 Kabupaten Magelang,2015,6.52
47,3309 Kabupaten Boyolali,2015,15.56
48,3310 Kabupaten Klaten,2015,18
49,3311 Kabupaten Sukoharjo,2015,11.11
50,3312 Kabupaten Wonogiri,2015,10
51,3313 Kabupaten Karanganyar,2015,17.78
52,3314 Kabupaten Sragen,2015,6.67
53,3315 Kabupaten Grobogan,2015,18
54,3316 Kabupaten Blora,2015,26.67
55,3317 Kabupaten Rembang,2015,20
56,3318 Kabupaten Pati,2015,18
57,3319 Kabupaten Kudus,2015,13.33
58,3320 Kabupaten Jepara,2015,6
59,3321 Kabupaten Demak,2015,16
60,3322 Kabupaten Semarang,2015,22.22
61,3323 Kabupaten Temanggung,2015,17.78
62,3324 Kabupaten Kendal,2015,14.29
63,3325 Kabupaten Batang,2015,22.22
64,3326 Kabupaten Pekalongan,2015,24.44
65,3327 Kabupaten Pemalang,2015,22
66,3328 Kabupaten Tegal,2015,6
67,3329 Kabupaten Brebes,2015,10.42
68,3371 Kota Magelang,2015,12
69,3372 Kota Surakarta,2015,25
70,3373 Kota Salatiga,2015,28
71,3374 Kota Semarang,2015,18
72,3375 Kota Pekalongan,2015,23.33
73,3376 Kota Tegal,2015,20
75,3300 PROVINSI JAWA TENGAH,2017,46.97
76,3301 Kabupaten Cilacap,2017,38.6
77,3302 Kabupaten Banyumas,2017,43.59
78,3303 Kabupaten Purbalingga,2017,49.76
79,3304 Kabupaten Banjarnegara,2017,45.81
80,3305 Kabupaten Kebumen,2017,46.71
81,3306 Kabupaten Purworejo,2017,50.68
82,3307 Kabupaten Wonosobo,2017,45.39
83,3308 Kabupaten Magelang,2017,43.93
84,3309 Kabupaten Boyolali,2017,50.69
85,3310 Kabupaten Klaten,2017,43.65
86,3311 Kabupaten Sukoharjo,2017,49.73
87,3312 Kabupaten Wonogiri,2017,45.84
88,3313 Kabupaten Karanganyar,2017,38.69
89,3314 Kabupaten Sragen,2017,51.68
90,3315 Kabupaten Grobogan,2017,43.28
91,3316 Kabupaten Blora,2017,50.3
92,3317 Kabupaten Rembang,2017,55.66
93,3318 Kabupaten Pati,2017,47.02
94,3319 Kabupaten Kudus,2017,45.73
95,3320 Kabupaten Jepara,2017,53.47
96,3321 Kabupaten Demak,2017,54.71
97,3322 Kabupaten Semarang,2017,45.3
98,3323 Kabupaten Temanggung,2017,44.62
99,3324 Kabupaten Kendal,2017,50.99
100,3325 Kabupaten Batang,2017,44.75
101,3326 Kabupaten Pekalongan,2017,45.42
102,3327 Kabupaten Pemalang,2017,56.95
103,3328 Kabupaten Tegal,2017,48.16
104,3329 Kabupaten Brebes,2017,43.28
105,3371 Kota Magelang,2017,51.78
106,3372 Kota Surakarta,2017,48.66
107,3373 Kota Salatiga,2017,44.06
108,3374 Kota Semarang,2017,47.15
109,3375 Kota Pekalongan,2017,46.94
110,3376 Kota Tegal,2017,45.84
112,3300 PROVINSI JAWA TENGAH,2018,47.57
113,3301 Kabupaten Cilacap,2018,43.68
114,3302 Kabupaten Banyumas,2018,46.05
115,3303 Kabupaten Purbalingga,2018,44.95
116,3304 Kabupaten Banjarnegara,2018,38.52
117,3305 Kabupaten Kebumen,2018,46.53
118,3306 Kabupaten Purworejo,2018,50.15
119,3307 Kabupaten Wonosobo,2018,50.59
120,3308 Kabupaten Magelang,2018,47.32
121,3309 Kabupaten Boyolali,2018,42.51
122,3310 Kabupaten Klaten,2018,52.71
123,3311 Kabupaten Sukoharjo,2018,47.37
124,3312 Kabupaten Wonogiri,2018,43.12
125,3313 Kabupaten Karanganyar,2018,49.22
126,3314 Kabupaten Sragen,2018,50.2
127,3315 Kabupaten Grobogan,2018,33.69
128,3316 Kabupaten Blora,2018,49.9
129,3317 Kabupaten Rembang,2018,51.35
130,3318 Kabupaten Pati,2018,48.66
131,3319 Kabupaten Kudus,2018,44.88
132,3320 Kabupaten Jepara,2018,59.3
133,3321 Kabupaten Demak,2018,50.58
134,3322 Kabupaten Semarang,2018,41.86
135,3323 Kabupaten Temanggung,2018,41.09
136,3324 Kabupaten Kendal,2018,49.48
137,3325 Kabupaten Batang,2018,41.22
138,3326 Kabupaten Pekalongan,2018,52.04
139,3327 Kabupaten Pemalang,2018,57.19
140,3328 Kabupaten Tegal,2018,49.81
141,3329 Kabupaten Brebes,2018,41.71
142,3371 Kota Magelang,2018,47.02
143,3372 Kota Surakarta,2018,45.06
144,3373 Kota Salatiga,2018,51.95
145,3374 Kota Semarang,2018,49.62
146,3375 Kota Pekalongan,2018,46.69
147,3376 Kota Tegal,2018,53.09
149,3300 PROVINSI JAWA TENGAH,2019,49.36
150,3301 Kabupaten Cilacap,2019,45.11
151,3302 Kabupaten Banyumas,2019,49.4
152,3303 Kabupaten Purbalingga,2019,47.36
153,3304 Kabupaten Banjarnegara,2019,56.8
154,3305 Kabupaten Kebumen,2019,49.12
155,3306 Kabupaten Purworejo,2019,52.24
156,3307 Kabupaten Wonosobo,2019,49.86
157,3308 Kabupaten Magelang,2019,45.92
158,3309 Kabupaten Boyolali,2019,45.97
