,Kabupaten / Kota,Tahun,TPAK Laki-laki
0,3301 Kabupaten Cilacap,2013,81.05
1,3302 Kabupaten Banyumas,2013,84.98
2,3303 Kabupaten Purbalingga,2013,85.48
3,3304 Kabupaten Banjarnegara,2013,83.83
4,3305 Kabupaten Kebumen,2013,80.03
5,3306 Kabupaten Purworejo,2013,81.04
6,3307 Kabupaten Wonosobo,2013,86.86
7,3308 Kabupaten Magelang,2013,84.35
8,3309 Kabupaten Boyolali,2013,84.28
9,3310 Kabupaten Klaten,2013,84.75
10,3311 Kabupaten Sukoharjo,2013,78.67
11,3312 Kabupaten Wonogiri,2013,85.79
12,3313 Kabupaten Karanganyar,2013,82.16
13,3314 Kabupaten Sragen,2013,82.92
14,3315 Kabupaten Grobogan,2013,89.17
15,3316 Kabupaten Blora,2013,88.45
16,3317 Kabupaten Rembang,2013,85.83
17,3318 Kabupaten Pati,2013,81.8
18,3319 Kabupaten Kudus,2013,82.26
19,3320 Kabupaten Jepara,2013,81.72
20,3321 Kabupaten Demak,2013,80.32
21,3322 Kabupaten Semarang,2013,85.69
22,3323 Kabupaten Temanggung,2013,91.59
23,3324 Kabupaten Kendal,2013,86.24
24,3325 Kabupaten Batang,2013,86.45
25,3326 Kabupaten Pekalongan,2013,82.24
26,3327 Kabupaten Pemalang,2013,81.84
27,3328 Kabupaten Tegal,2013,81.74
28,3329 Kabupaten Brebes,2013,87.92
29,3371 Kota Magelang,2013,75.6
30,3372 Kota Surakarta,2013,84.9
31,3373 Kota Salatiga,2013,78.36
32,3374 Kota Semarang,2013,79.38
33,3375 Kota Pekalongan,2013,84.82
34,3376 Kota Tegal,2013,85.52
35,3300 Provinsi Jawa Tengah,2013,83.79
36,3301 Kabupaten Cilacap,2014,80.88
37,3302 Kabupaten Banyumas,2014,82.64
38,3303 Kabupaten Purbalingga,2014,84.18
39,3304 Kabupaten Banjarnegara,2014,87.73
40,3305 Kabupaten Kebumen,2014,85.7
41,3306 Kabupaten Purworejo,2014,79.7
42,3307 Kabupaten Wonosobo,2014,87.6
43,3308 Kabupaten Magelang,2014,87.62
44,3309 Kabupaten Boyolali,2014,84.33
45,3310 Kabupaten Klaten,2014,80.23
46,3311 Kabupaten Sukoharjo,2014,80.18
47,3312 Kabupaten Wonogiri,2014,81.59
48,3313 Kabupaten Karanganyar,2014,79.09
49,3314 Kabupaten Sragen,2014,81.33
50,3315 Kabupaten Grobogan,2014,86.71
51,3316 Kabupaten Blora,2014,85.41
52,3317 Kabupaten Rembang,2014,84.85
53,3318 Kabupaten Pati,2014,83.59
54,3319 Kabupaten Kudus,2014,83.29
55,3320 Kabupaten Jepara,2014,81.26
56,3321 Kabupaten Demak,2014,81.66
57,3322 Kabupaten Semarang,2014,85.88
58,3323 Kabupaten Temanggung,2014,86.64
59,3324 Kabupaten Kendal,2014,82.83
60,3325 Kabupaten Batang,2014,87.23
61,3326 Kabupaten Pekalongan,2014,82.17
62,3327 Kabupaten Pemalang,2014,83.12
63,3328 Kabupaten Tegal,2014,77.39
64,3329 Kabupaten Brebes,2014,81.33
65,3371 Kota Magelang,2014,76.85
66,3372 Kota Surakarta,2014,77.6
67,3373 Kota Salatiga,2014,79.28
68,3374 Kota Semarang,2014,81.97
69,3375 Kota Pekalongan,2014,84.01
70,3376 Kota Tegal,2014,81
71,3300 Provinsi Jawa Tengah,2014,82.93
72,3301 Kabupaten Cilacap,2015,79.82
73,3302 Kabupaten Banyumas,2015,78.15
74,3303 Kabupaten Purbalingga,2015,83.81
75,3304 Kabupaten Banjarnegara,2015,85.73
76,3305 Kabupaten Kebumen,2015,83.66
77,3306 Kabupaten Purworejo,2015,81.67
78,3307 Kabupaten Wonosobo,2015,85.42
79,3308 Kabupaten Magelang,2015,83.22
80,3309 Kabupaten Boyolali,2015,86.72
81,3310 Kabupaten Klaten,2015,79.06
82,3311 Kabupaten Sukoharjo,2015,80.04
83,3312 Kabupaten Wonogiri,2015,83.08
84,3313 Kabupaten Karanganyar,2015,82.79
85,3314 Kabupaten Sragen,2015,82.59
86,3315 Kabupaten Grobogan,2015,87.12
87,3316 Kabupaten Blora,2015,84.32
88,3317 Kabupaten Rembang,2015,85.18
89,3318 Kabupaten Pati,2015,83.22
90,3319 Kabupaten Kudus,2015,82.65
91,3320 Kabupaten Jepara,2015,83.36
92,3321 Kabupaten Demak,2015,83.19
93,3322 Kabupaten Semarang,2015,86.16
94,3323 Kabupaten Temanggung,2015,87.51
95,3324 Kabupaten Kendal,2015,80.22
96,3325 Kabupaten Batang,2015,86.01
97,3326 Kabupaten Pekalongan,2015,81.71
98,3327 Kabupaten Pemalang,2015,81.73
99,3328 Kabupaten Tegal,2015,81.34
100,3329 Kabupaten Brebes,2015,79.03
101,3371 Kota Magelang,2015,73.28
102,3372 Kota Surakarta,2015,81.28
103,3373 Kota Salatiga,2015,72.24
104,3374 Kota Semarang,2015,78.54
105,3375 Kota Pekalongan,2015,84
106,3376 Kota Tegal,2015,82.32
107,3300 Provinsi Jawa Tengah,2015,82.38
108,3301 Kabupaten Cilacap,2017,82.51
109,3302 Kabupaten Banyumas,2017,79.82
110,3303 Kabupaten Purbalingga,2017,83.52
111,3304 Kabupaten Banjarnegara,2017,85.6
112,3305 Kabupaten Kebumen,2017,81
113,3306 Kabupaten Purworejo,2017,78.17
114,3307 Kabupaten Wonosobo,2017,85.15
115,3308 Kabupaten Magelang,2017,84.12
116,3309 Kabupaten Boyolali,2017,82.12
117,3310 Kabupaten Klaten,2017,79.96
118,3311 Kabupaten Sukoharjo,2017,77.4
119,3312 Kabupaten Wonogiri,2017,80.79
120,3313 Kabupaten Karanganyar,2017,83.06
