,Kabupaten / Kota,Tahun,TPAK Perempuan
0,3301 Kabupaten Cilacap,2013,51.78
1,3302 Kabupaten Banyumas,2013,43.38
2,3303 Kabupaten Purbalingga,2013,62.15
3,3304 Kabupaten Banjarnegara,2013,63.16
4,3305 Kabupaten Kebumen,2013,63.22
5,3306 Kabupaten Purworejo,2013,61.22
6,3307 Kabupaten Wonosobo,2013,51.36
7,3308 Kabupaten Magelang,2013,56.18
8,3309 Kabupaten Boyolali,2013,67.9
9,3310 Kabupaten Klaten,2013,61.38
10,3311 Kabupaten Sukoharjo,2013,57.52
11,3312 Kabupaten Wonogiri,2013,59.31
12,3313 Kabupaten Karanganyar,2013,60.39
13,3314 Kabupaten Sragen,2013,65.07
14,3315 Kabupaten Grobogan,2013,57.76
15,3316 Kabupaten Blora,2013,62.5
16,3317 Kabupaten Rembang,2013,60.41
17,3318 Kabupaten Pati,2013,60.75
18,3319 Kabupaten Kudus,2013,64.36
19,3320 Kabupaten Jepara,2013,58.95
20,3321 Kabupaten Demak,2013,56.42
21,3322 Kabupaten Semarang,2013,63.28
22,3323 Kabupaten Temanggung,2013,61.92
23,3324 Kabupaten Kendal,2013,57.15
24,3325 Kabupaten Batang,2013,55.75
25,3326 Kabupaten Pekalongan,2013,56.96
26,3327 Kabupaten Pemalang,2013,52.1
27,3328 Kabupaten Tegal,2013,44.11
28,3329 Kabupaten Brebes,2013,58.23
29,3371 Kota Magelang,2013,61.51
30,3372 Kota Surakarta,2013,60.3
31,3373 Kota Salatiga,2013,58.28
32,3374 Kota Semarang,2013,55.58
33,3375 Kota Pekalongan,2013,47.97
34,3376 Kota Tegal,2013,57.05
35,3300 Provinsi Jawa Tengah,2013,57.58
36,3301 Kabupaten Cilacap,2014,45.83
37,3302 Kabupaten Banyumas,2014,46.3
38,3303 Kabupaten Purbalingga,2014,58.36
39,3304 Kabupaten Banjarnegara,2014,62.79
40,3305 Kabupaten Kebumen,2014,63.81
41,3306 Kabupaten Purworejo,2014,57.75
42,3307 Kabupaten Wonosobo,2014,59.89
43,3308 Kabupaten Magelang,2014,55.98
44,3309 Kabupaten Boyolali,2014,65.84
45,3310 Kabupaten Klaten,2014,61.3
46,3311 Kabupaten Sukoharjo,2014,58.99
47,3312 Kabupaten Wonogiri,2014,62.28
48,3313 Kabupaten Karanganyar,2014,60.47
49,3314 Kabupaten Sragen,2014,62.21
50,3315 Kabupaten Grobogan,2014,63.1
51,3316 Kabupaten Blora,2014,52.54
52,3317 Kabupaten Rembang,2014,51.89
53,3318 Kabupaten Pati,2014,55.56
54,3319 Kabupaten Kudus,2014,61.17
